step,epoch,tokens_seen,loss,learning_rate,time_per_step,gpu_memory_gb
95100,1,6232473600,2.993411,1.71e-04,3.111,18.42
95200,1,6239027200,3.917095,1.71e-04,3.099,18.42
95300,1,6245580800,3.322140,1.71e-04,3.092,18.42
95400,1,6252134400,2.888836,1.71e-04,3.093,18.42
95500,1,6258688000,2.823414,1.71e-04,3.093,18.42
95600,1,6265241600,3.222720,1.70e-04,3.093,18.42
95700,1,6271795200,3.461087,1.70e-04,3.093,18.42
95800,1,6278348800,2.656383,1.70e-04,3.093,18.42
95900,1,6284902400,2.783147,1.70e-04,3.091,18.42
96000,1,6291456000,2.587964,1.69e-04,3.088,18.42
96100,1,6298009600,2.995965,1.69e-04,3.084,18.42
96200,1,6304563200,2.609883,1.69e-04,3.101,18.42
96300,1,6311116800,2.843048,1.69e-04,3.099,18.42
96400,1,6317670400,2.907591,1.68e-04,3.093,18.42
96500,1,6324224000,2.849142,1.68e-04,3.093,18.42
96600,1,6330777600,3.238320,1.68e-04,3.093,18.42
96700,1,6337331200,3.214310,1.68e-04,3.093,18.42
96800,1,6343884800,3.307556,1.68e-04,3.093,18.42
96900,1,6350438400,2.815971,1.67e-04,3.094,18.42
97000,1,6356992000,2.687649,1.67e-04,3.093,18.42
97100,1,6363545600,2.887827,1.67e-04,3.092,18.42
97200,1,6370099200,2.907226,1.67e-04,3.058,18.42
97300,1,6376652800,3.106089,1.66e-04,3.059,18.42
97400,1,6383206400,3.459085,1.66e-04,3.058,18.42
97500,1,6389760000,2.734922,1.66e-04,3.058,18.42
97600,1,6396313600,2.699496,1.66e-04,3.057,18.42
97700,1,6402867200,2.919744,1.66e-04,3.059,18.42
97800,1,6409420800,2.626690,1.65e-04,3.058,18.42
97900,1,6415974400,3.183285,1.65e-04,3.059,18.42
98000,1,6422528000,2.891202,1.65e-04,3.058,18.42
98100,1,6429081600,3.863281,1.65e-04,3.058,18.42
98200,1,6435635200,2.787479,1.64e-04,3.060,18.42
